dias;tesouroUS;eurodolar;prata ;euroyen;ouro;libra;eurolibra;aluminio;gas;microouro;cobre;dolaraustralia
112;-0.002456;0.000151;0.03831;0.002214;0.00682;0.009997;-0.002944;0.010101;-0.042923;0.00682;0.01142;0.01052
113;0.01618;0.000602;-0.038888;-0.002719;-0.016793;-0.006018;0.000517;0.000169;-0.031515;-0.016793;-0.0147;-0.016625
114;0.004673;0;0.007574;-0.005198;-0.003937;-0.007409;0.000287;0.016438;0.055069;-0.003937;-0.003459;-0.002844
115;-0.008441;-0.0001;-0.02101;0.001799;-0.018135;0.002408;-0.000344;0.002001;0.039739;-0.018135;0.021263;0.006655
116;0.004864;0.000151;0.020936;-0.000171;0.007341;-0.003523;0.002929;-0.007654;0.097547;0.007341;-0.008073;-0.001102
117;0.008299;0.000251;-0.047442;0.000428;-0.013752;-0.013257;0.012481;-0.004695;-0.053534;-0.013752;-0.028914;-0.00977
118;-0.00703;-0.000201;0.030976;-0.00359;0.030092;0.003094;-0.006164;0.01752;0.0648;0.030092;0.022276;0.006047
119;0.002418;0.0001;0.004648;-0.004032;0.002661;0.002922;-0.006145;-0.005795;-0.06395;0.002661;0.002805;0.010282
120;0.003273;0;-0.006125;-0.000517;-0.005654;-0.000243;0.001489;-0.001166;-0.038017;-0.005654;0.010327;-0.000939
121;-0.007898;-0.000251;-0.003474;0.001379;-0.00673;0.005667;-0.00263;-0.001501;0.04181;-0.00673;0.01448;0.013164
122;0.007096;0.000251;-0.002566;-0.003356;-0.000818;0.000886;-0.000573;-0.003506;-0.013744;-0.000818;-0.001259;0.005568
123;-0.002578;0.00015;-0.000132;0.000777;-0.004151;0.001528;0.001663;0.007038;0.041806;0.001695;-0.001892;0.006461
124;-0.001895;0.00005;-0.017282;0.013374;-0.011272;0.011886;-0.004351;-0.007488;0.042804;-0.011206;-0.008633;-0.003057
125;-0.002071;-0.00015;-0.002349;-0.001022;0.006116;-0.008968;0.011328;-0.001174;-0.030272;0.003955;-0.015081;-0.017017
126;0.000346;0.00015;-0.009487;-0.007671;0.007318;-0.003684;-0.0029;-0.007049;0.054497;0.00729;0.002372;0.002027
127;-0.002421;-0.00015;0.022755;-0.007215;-0.001465;0.001045;-0.006045;0.002197;0.070748;-0.001576;0.007315;0.005136
128;-0.008667;0.00015;-0.004649;-0.008478;-0.011852;-0.008672;0.00436;-0.003036;-0.089035;-0.012919;0.004912;-0.006504
129;0.013464;0.000903;0.038367;0.004275;0.022325;0.000972;0.001085;0.001015;-0.02572;0.022091;0.014028;0.011066
130;-0.007937;-0.00005;0.011438;0.005039;-0.006911;0.004289;-0.002853;0;-0.037487;-0.006895;0.009642;0.006012
131;-0.006609;-0.000251;-0.006607;0.007089;-0.008538;-0.006526;0.003433;0.002366;0.001646;-0.009277;-0.011003;-0.006589
132;0.007353;0.000201;0.003262;-0.000515;0.005368;-0.004055;0.008155;-0.008767;-0.05805;0.005183;-0.009026;0.001234
133;0.004692;-0.00005;-0.00153;-0.006012;0.005574;-0.004967;0.001471;-0.001531;-0.060465;0.005625;-0.004872;-0.008011
134;0.005362;0.0001;0.030199;-0.000864;0.01412;-0.002046;-0.001017;0;0.040223;0.014274;0.000851;-0.000932
135;-0.003785;-0.0001;0.056396;0.003459;0.008803;-0.006315;0.009216;0;-0.020821;0.008846;-0.007444;-0.002332
136;-0.015371;-0.000551;0.024522;0.010341;-0.012319;0.005282;-0.001423;0.00937;0.083232;-0.012469;0.030641;0.010128
137;0.002631;0.00015;0.024507;0.006227;0.00716;0.008292;0.000583;-0.001857;0.02636;0.006458;0.007484;0.012957
138;0.005598;0.00015;0.006148;0.001102;0.003669;-0.004152;0.007794;0.013696;-0.03224;0.003724;0.018366;0.005177
139;0.000522;-0.0001;-0.037052;-0.001693;-0.017194;0.000409;-0.003227;0.005338;-0.034444;-0.017236;-0.006282;-0.005454
140;0.002956;0.0001;0.018979;-0.006531;0.008195;-0.005394;-0.000837;-0.011283;0.012281;0.007898;-0.017537;-0.005484
141;-0.007108;-0.00005;-0.005605;0.009391;-0.01718;0.014215;-0.004413;0.008726;0.035817;-0.017228;0.012246;0.022362
142;0.002794;-0.00015;0.006889;0.001269;0.003226;-0.007049;0.006734;0.006821;-0.039598;0.00299;-0.014763;-0.010187
143;-0.004527;-0.00005;0.011817;0.008447;0.001754;0.00718;0.001728;0.011732;0.060976;0.00152;0.00437;0.00787
144;0.007521;0.000301;0.030455;0.002429;0.013775;-0.001458;0.002226;0.00098;0.012042;0.013775;0.005595;0.00015
145;-0.003472;0.00005;0.017787;0.00117;0.000518;0.013792;-0.010493;0.002284;-0.040562;0.000518;0.019782;0.020721
146;-0.002265;-0.00005;-0.029891;0.013855;-0.007251;0.003681;-0.000224;0.014;0.001691;-0.007251;0.008082;0.013386
147;-0.010302;-0.000351;-0.015708;0.007903;-0.015882;0.003747;0.002189;0.009793;0.024761;-0.015882;0.000802;0.006387
148;-0.008469;-0.00015;0.005747;0.01168;0.012428;0.001986;0.007896;-0.002067;0.000549;0.012428;-0.001402;0.00101
149;-0.008541;-0.000752;-0.032235;-0.000404;-0.024842;0.00436;-0.009278;0.017524;-0.021954;-0.024842;0.025672;0.004035
150;0.002154;0.000251;0.024365;-0.010823;0.013185;0.004499;-0.003589;0.012995;0.003928;0.013185;0.005084;0.00775
151;0.008238;0.000301;-0.005261;-0.001878;0.009657;0.001179;0.00242;-0.002782;-0.012297;0.009657;0.011868;-0.007975
152;0.009059;0.000602;0.000112;-0.001718;-0.000816;0.002198;0.001965;0.012399;0.007357;-0.000816;0.021727;0.007752
153;0.01373;0.000251;0.005232;-0.010899;0.010915;-0.013627;0.005547;-0.017759;0.018539;0.010915;-0.026534;-0.024501
154;-0.006598;-0.00015;-0.022777;-0.000249;-0.001559;-0.008416;0.002229;0;-0.045229;-0.001559;0.005799;-0.000876
155;0.000699;0;-0.004753;0.002735;-0.005204;0.006486;-0.002435;-0.01995;-0.035817;-0.005204;-0.012685;0.002923
156;-0.009083;-0.00015;0.014558;0.000083;0.005406;0.000716;-0.000401;0.013677;-0.032954;0.005406;-0.000973;0.004663
157;0.00282;0.0002;0.007089;-0.005371;-0.000231;-0.002941;-0.000725;0.005491;0.01487;-0.000231;0.010133;-0.00058
158;0.006855;0;-0.014867;-0.004487;-0.002544;-0.009568;0.007533;0.003433;0;-0.002544;-0.000386;-0.006241
159;0.000698;0.00005;0.019379;-0.001669;0.012233;-0.005233;0.003157;-0.013839;0.018926;0.012233;0.009263;0.000292
